group1	group2	metric	group1_mean	group2_mean	delta_group1_minus_groups2	p	p_adjust	significant
granular_similar	all_unmatched	enrichment	7.22942101070572	4.42805412587699	2.80136688482873	4.05196709400649e-46	1.45870815384234e-44	TRUE
granular_any_exact	all_unmatched	enrichment	8.36392591923286	4.42805412587699	3.93587179335587	1.74419840053349e-35	6.27911424192056e-34	TRUE
granular_unmatched	granular_similar	enrichment	5.07220768451796	7.22942101070572	-2.15721332618776	1.71470189481105e-33	6.17292682131977e-32	TRUE
granular_similar	supergroup_unmatched	enrichment	7.22942101070572	5.1136292388676	2.11579177183812	4.34279705259267e-32	1.56340693893336e-30	TRUE
granular_any_exact	supergroup_unmatched	enrichment	8.36392591923286	5.1136292388676	3.25029668036527	1.11002266046997e-28	3.99608157769191e-27	TRUE
granular_unmatched	granular_any_exact	enrichment	5.07220768451796	8.36392591923286	-3.29171823471491	1.49830266289519e-28	5.39388958642268e-27	TRUE
all_unmatched	supergroup_similar	enrichment	4.42805412587699	7.20377532088073	-2.77572119500374	1.74538135947714e-22	6.2833728941177e-21	TRUE
granular_unmatched	supergroup_similar	enrichment	5.07220768451796	7.20377532088073	-2.13156763636277	1.6370526287628e-16	5.89338946354606e-15	TRUE
granular_unmatched	all_unmatched	enrichment	5.07220768451796	4.42805412587699	0.644153558640968	2.12854886261273e-16	7.66277590540583e-15	TRUE
supergroup_unmatched	supergroup_similar	enrichment	5.1136292388676	7.20377532088073	-2.09014608201313	3.27096593266002e-16	1.17754773575761e-14	TRUE
all_unmatched	supergroup_unmatched	enrichment	4.42805412587699	5.1136292388676	-0.685575112990606	9.75522894139119e-16	3.51188241890083e-14	TRUE
all_unmatched	supergroup_any_exact	enrichment	4.42805412587699	7.94363841302515	-3.51558428714816	3.95289608078488e-13	1.42304258908256e-11	TRUE
all_unmatched	all_similar	enrichment	4.42805412587699	6.98493743070572	-2.55688330482873	4.6093239985272e-11	1.65935663946979e-09	TRUE
granular_unmatched	supergroup_any_exact	enrichment	5.07220768451796	7.94363841302515	-2.87143072850719	9.66974518960858e-11	3.48110826825909e-09	TRUE
supergroup_unmatched	supergroup_any_exact	enrichment	5.1136292388676	7.94363841302515	-2.83000917415755	1.16444647116344e-10	4.19200729618838e-09	TRUE
granular_unmatched	all_similar	enrichment	5.07220768451796	6.98493743070572	-1.91272974618776	4.45649353770096e-08	1.60433767357235e-06	TRUE
all_similar	supergroup_unmatched	enrichment	6.98493743070572	5.1136292388676	1.87130819183813	6.89527863696736e-08	2.48230030930825e-06	TRUE
granular_any_exact	granular_similar	enrichment	8.36392591923286	7.22942101070572	1.13450490852715	4.65672817919985e-06	0.000167642214451195	TRUE
granular_any_exact	supergroup_similar	enrichment	8.36392591923286	7.20377532088073	1.16015059835213	3.0240936746994e-05	0.00108867372289179	TRUE
granular_any_exact	all_similar	enrichment	8.36392591923286	6.98493743070572	1.37898848852714	8.83797614495775e-05	0.00318167141218479	TRUE
all_similar	supergroup_any_exact	enrichment	6.98493743070572	7.94363841302515	-0.958700982319428	0.0193422118685527	0.696319627267899	FALSE
granular_unmatched	all_any_exact	enrichment	5.07220768451796	6.86063786527209	-1.78843018075413	0.202300458346079	1	FALSE
granular_unmatched	supergroup_unmatched	enrichment	5.07220768451796	5.1136292388676	-0.0414215543496379	0.399146237002909	1	FALSE
granular_any_exact	all_any_exact	enrichment	8.36392591923286	6.86063786527209	1.50328805396077	0.253999460048648	1	FALSE
granular_any_exact	supergroup_any_exact	enrichment	8.36392591923286	7.94363841302515	0.420287506207713	0.232460203324227	1	FALSE
granular_similar	all_similar	enrichment	7.22942101070572	6.98493743070572	0.244483579999994	0.432690239796081	1	FALSE
granular_similar	all_any_exact	enrichment	7.22942101070572	6.86063786527209	0.368783145433623	0.738298645954219	1	FALSE
granular_similar	supergroup_any_exact	enrichment	7.22942101070572	7.94363841302515	-0.714217402319434	0.0349136106208457	1	FALSE
granular_similar	supergroup_similar	enrichment	7.22942101070572	7.20377532088073	0.0256456898249855	0.916069308800261	1	FALSE
all_unmatched	all_any_exact	enrichment	4.42805412587699	6.86063786527209	-2.4325837393951	0.125264048466109	1	FALSE
all_similar	all_any_exact	enrichment	6.98493743070572	6.86063786527209	0.124299565433629	0.910437693939184	1	FALSE
all_similar	supergroup_similar	enrichment	6.98493743070572	7.20377532088073	-0.218837890175008	0.512290562952499	1	FALSE
all_any_exact	supergroup_unmatched	enrichment	6.86063786527209	5.1136292388676	1.7470086264045	0.209014780494613	1	FALSE
all_any_exact	supergroup_any_exact	enrichment	6.86063786527209	7.94363841302515	-1.08300054775306	0.375832583272142	1	FALSE
all_any_exact	supergroup_similar	enrichment	6.86063786527209	7.20377532088073	-0.343137455608638	0.756301468848609	1	FALSE
supergroup_any_exact	supergroup_similar	enrichment	7.94363841302515	7.20377532088073	0.73986309214442	0.039134223553113	1	FALSE
