dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize20	PowerAtEffectSize50	pair_uid	merged_uid	merged_start	merged_end
Gasperini2019	chr11	10735602	10736102	MTRNR2L8|chr11:10757149-10757649:.	-0.00678258362596906	NA	NA	NA	MTRNR2L8	FALSE	0.999918430877266	0.9	TRUE	K562	Gasperini et al., 2019	FALSE	0.65	0.8	0.9	1	Gasperini2019|MTRNR2L8|chr11:10757149-10757649:.	1766	10735602	10736102
Gasperini2019	chr11	10920178	10920678	MTRNR2L8|chr11:10941725-10942225:.	-0.021307472686982	NA	NA	NA	MTRNR2L8	FALSE	0.999918430877266	0.95	TRUE	K562	Gasperini et al., 2019	FALSE	0.5	0.8	0.9	1	Gasperini2019|MTRNR2L8|chr11:10941725-10942225:.	1767	10920178	10920678
Gasperini2019	chr11	125532640	125533140	FEZ1|chr11:125402536-125403036:.	-0.107618570344629	NA	NA	NA	FEZ1	TRUE	6.38169645822023e-20	0.9	TRUE	K562	Gasperini et al., 2019	TRUE	0.25	0.65	0.9	1	Gasperini2019|FEZ1|chr11:125402536-125403036:.	2331	125532640	125533140
Gasperini2019	chr11	125551610	125552466	FEZ1|chr11:125421506-125422362:.	-0.0865119708117428	NA	NA	NA	FEZ1	TRUE	7.54570316608019e-10	0.85	TRUE	K562	Gasperini et al., 2019	TRUE	0.3	0.65	0.85	1	Gasperini2019|FEZ1|chr11:125421506-125422362:.	2332	125551610	125552466
Gasperini2019	chr11	125552655	125553360	FEZ1|chr11:125422551-125423256:.	-0.147809397689242	NA	NA	NA	FEZ1	TRUE	1.91742148966498e-34	0.8	TRUE	K562	Gasperini et al., 2019	TRUE	0.2	0.6	0.65	1	Gasperini2019|FEZ1|chr11:125422551-125423256:.	2333	125552655	125553360
Gasperini2019	chr11	125553954	125554454	FEZ1|chr11:125423850-125424350:.	-0.0887866302150994	NA	NA	NA	FEZ1	TRUE	0.00010326679299987	0.8	TRUE	K562	Gasperini et al., 2019	TRUE	0.2	0.45	0.55	1	Gasperini2019|FEZ1|chr11:125423850-125424350:.	2334	125553954	125554454
Gasperini2019	chr14	22560754	22561361	HOMEZ|chr14:23029654-23030261:.	-0.00617460226964272	NA	NA	NA	HOMEZ	FALSE	0.999918430877266	1	TRUE	K562	Gasperini et al., 2019	FALSE	0.55	0.8	1	1	Gasperini2019|HOMEZ|chr14:23029654-23030261:.	2979	22560754	22561361
Gasperini2019	chr17	78784922	78785422	TMC6|chr17:76781004-76781504:.	-0.0496916388329483	NA	NA	NA	TMC6	FALSE	0.590493725585241	0.95	TRUE	K562	Gasperini et al., 2019	FALSE	0.35	0.8	0.9	1	Gasperini2019|TMC6|chr17:76781004-76781504:.	3604	78784922	78785422
Gasperini2019	chr17	78937471	78937971	TMC6|chr17:76933553-76934053:.	-0.0114452873208589	NA	NA	NA	TMC6	FALSE	0.999918430877266	1	TRUE	K562	Gasperini et al., 2019	FALSE	0.45	0.8	0.9	1	Gasperini2019|TMC6|chr17:76933553-76934053:.	3605	78937471	78937971
Gasperini2019	chr20	17925055	17925961	LINC00493|chr20:17905699-17906605:.	0.0269974917299414	NA	NA	NA	LINC00493	FALSE	0.955905753151502	1	TRUE	K562	Gasperini et al., 2019	FALSE	0.65	0.9	1	1	Gasperini2019|LINC00493|chr20:17905699-17906605:.	6323	17925055	17925961
Gasperini2019	chr7	97198531	97199031	SEM1|chr7:96827843-96828343:.	0.0155334457753049	NA	NA	NA	SEM1	FALSE	0.999918430877266	1	TRUE	K562	Gasperini et al., 2019	FALSE	0.6	0.8	0.95	1	Gasperini2019|SEM1|chr7:96827843-96828343:.	8438	97198531	97199031
Gasperini2019	chr7	97450426	97451034	SEM1|chr7:97079738-97080346:.	-0.00520913043396453	NA	NA	NA	SEM1	FALSE	0.999918430877266	1	TRUE	K562	Gasperini et al., 2019	FALSE	0.6	0.95	1	1	Gasperini2019|SEM1|chr7:97079738-97080346:.	8439	97450426	97451034
Gasperini2019	chr7	97512747	97513247	SEM1|chr7:97142059-97142559:.	0.0158841031199755	NA	NA	NA	SEM1	FALSE	0.968460484304754	0.95	TRUE	K562	Gasperini et al., 2019	FALSE	0.7	0.9	0.95	1	Gasperini2019|SEM1|chr7:97142059-97142559:.	8440	97512747	97513247
Gasperini2019	chr7	116949933	116950433	ST7|chr7:116589987-116590487:.	-0.0353751139462791	NA	NA	NA	ST7	TRUE	0.040050509346488	0.9	TRUE	K562	Gasperini et al., 2019	TRUE	0.3	0.45	0.6	1	Gasperini2019|ST7|chr7:116589987-116590487:.	8525	116949933	116950433
